Source,Target,Weight
0-3-5-4,syntaxaero,34
0-3-5-4,seachomps,3
0-3-5-4,immoralwacha,5
0-3-5-4,saonimorro,24
0-3-5-4,pawberry,45
0-3-5-4,aquamix,13
0-3-5-4,qweave,33
0-3-5-4,saonimorroasloosh,0
0-3-5-4,tach0012,14
0-3-5-4,curritos,19
0-3-5-4,wamnugget,4
0-3-5-4,chonky-shark,25
0-3-5-4,miluoxie,37
0-3-5-4,unixcat,19
0-3-5-4,area-break,19
0-3-5-4,veryfilthything,16
0-3-5-4,alek.s,38
0-3-5-4,kinkaxa,47
0-3-5-4,otterpupps,9
0-3-5-4,fabiantheprotogen,7
0-3-5-4,elektr0,10
0-3-5-4,cracker.,47
0-3-5-4,indigo2,1
0-3-5-4,aucherr,12
0-3-5-4,snotdrips,22
0-3-5-4,vulpgulps,14
0-3-5-4,eddybelly,28
0-3-5-4,saintdraconis,30
0-3-5-4,kuronekocoffee,15
0-3-5-4,jouigidragon,37
0-3-5-4,xxedge,18
0-3-5-4,pusinie,5
0-3-5-4,cantielabs,19
0-3-5-4,crestdraggy,21
0-3-5-4,catarsi,41
0-3-5-4,cuchuflehest,13
0-3-5-4,palenque,15
0-3-5-4,roppu,45
0-3-5-4,redphlannel,13
0-3-5-4,cchilab,12
0-3-5-4,plushpuff,4
0-3-5-4,callmems,11
0-3-5-4,takarachan,19
0-3-5-4,weighty-kyte,47
0-3-5-4,borisbearr,5
0-3-5-4,derfisch,34
0-3-5-4,abthegreat,34
0-3-5-4,okaeri,32
0-3-5-4,chubby-shark,38
0-3-5-4,wideshark,18
0-3-5-4,darrkemperor,7
0-3-5-4,pillowopossum,15
0-3-5-4,artisipancake,45
0-3-5-4,kelpu,33
0-3-5-4,kkoart,28
0-3-5-4,blueberryroti,12
0-3-5-4,doxxylbox,8
0-3-5-4,silverfang725,23
0-3-5-4,beverage,12
0-3-5-4,homemosaco,25
0-3-5-4,huhunya,4
0-3-5-4,sumisune,24
0-3-5-4,gummyfruitcup,14
0-3-5-4,sleepyheadspoosha,3
0-3-5-4,javcavk541,8
0-3-5-4,thatoneaceguy,37
0-3-5-4,zaphod-,46
0-3-5-4,cirronaja,17
0-3-5-4,"boot,possywossy",0
0-3-5-4,haloopdy,15
0-3-5-4,decafbat,24
0-3-5-4,maxine-dragon-787,30
0-3-5-4,ahjerchubbywolf,9
0-3-5-4,calorie,31
0-3-5-4,milkmeats,23
0-3-5-4,vomits,23
0-3-5-4,carcupholder,16
0-3-5-4,feyfoxen,15
0-3-5-4,mochi-squish,31
0-3-5-4,pillowpatche,3
0-3-5-4,puffwuffballoon,19
0-3-5-4,incidental,20
0-3-5-4,shweetmagnet,12
0-3-5-4,awesomnater,6
0-3-5-4,saintsucrose,35
0-3-5-4,or-fi-s,47
0-3-5-4,museuk,35
0-3-5-4,gnarly-gnasties,31
0-3-5-4,dondedun,29
0-3-5-4,orcalx,6
0-3-5-4,randomguy645,23
0-3-5-4,inuzu,21
0-3-5-4,xnonax,49
0-3-5-4,slimecatt,9
0-3-5-4,heavydoodles,25
0-3-5-4,cavios,22
0-3-5-4,batspid2,25
0-3-5-4,the-netwayman,31
0-3-5-4,hosinokedama,41
0-3-5-4,smokeydraws,8
0-3-5-4,doncogneetoe,39
0-3-5-4,chubbypuppies,9
0-3-5-4,mexifurfoof,14
0-3-5-4,wenisberry,17
0-3-5-4,evkem,11
0-3-5-4,astrozone,13
0-3-5-4,pastelgeneticist,30
0-3-5-4,orbyssey,4
0-3-5-4,haradoshin,23
0-3-5-4,inksplot,19
0-3-5-4,porcine,13
0-3-5-4,grimbler,37
0-3-5-4,trubbol,37
0-3-5-4,reshirii,163
0-3-5-4,aquatin,18
0-3-5-4,chimeracauldron,13
0-3-5-4,biowhat,1
0-3-5-4,nyuufruit,39
0-3-5-4,cynicalfluff,14
0-3-5-4,yellowhellion,27
0-3-5-4,mk-artichoke,19
0-3-5-4,gil~,3
0-3-5-4,smolsnuff,39
0-3-5-4,saltypantz,29
0-3-5-4,heftyhorsehostler,13
0-3-5-4,bluebrush,50
0-3-5-4,fattydragonite,35
syntaxaero,seachomps,110
syntaxaero,immoralwacha,63
syntaxaero,saonimorro,261
syntaxaero,pawberry,135
syntaxaero,aquamix,74
syntaxaero,qweave,250
syntaxaero,saonimorroasloosh,0
syntaxaero,tach0012,227
syntaxaero,curritos,197
syntaxaero,wamnugget,18
syntaxaero,chonky-shark,274
syntaxaero,miluoxie,265
syntaxaero,unixcat,185
syntaxaero,area-break,150
syntaxaero,veryfilthything,138
syntaxaero,alek.s,304
syntaxaero,kinkaxa,312
syntaxaero,otterpupps,60
syntaxaero,fabiantheprotogen,60
syntaxaero,elektr0,97
syntaxaero,cracker.,292
syntaxaero,indigo2,25
syntaxaero,aucherr,189
syntaxaero,snotdrips,210
syntaxaero,vulpgulps,123
syntaxaero,eddybelly,217
syntaxaero,saintdraconis,343
syntaxaero,kuronekocoffee,201
syntaxaero,jouigidragon,327
syntaxaero,xxedge,168
syntaxaero,pusinie,74
syntaxaero,cantielabs,101
syntaxaero,crestdraggy,163
syntaxaero,catarsi,425
syntaxaero,cuchuflehest,97
syntaxaero,palenque,149
syntaxaero,roppu,326
syntaxaero,redphlannel,94
syntaxaero,cchilab,39
syntaxaero,plushpuff,8
syntaxaero,callmems,173
syntaxaero,takarachan,137
syntaxaero,weighty-kyte,397
syntaxaero,borisbearr,51
syntaxaero,derfisch,235
syntaxaero,abthegreat,451
syntaxaero,okaeri,372
syntaxaero,chubby-shark,321
syntaxaero,wideshark,219
syntaxaero,darrkemperor,60
syntaxaero,pillowopossum,80
syntaxaero,artisipancake,534
syntaxaero,kelpu,313
syntaxaero,kkoart,138
syntaxaero,blueberryroti,129
syntaxaero,doxxylbox,66
syntaxaero,silverfang725,277
syntaxaero,beverage,84
syntaxaero,homemosaco,212
syntaxaero,huhunya,56
syntaxaero,sumisune,268
syntaxaero,gummyfruitcup,122
syntaxaero,sleepyheadspoosha,22
syntaxaero,javcavk541,71
syntaxaero,thatoneaceguy,301
syntaxaero,zaphod-,429
syntaxaero,cirronaja,147
syntaxaero,"boot,possywossy",0
syntaxaero,haloopdy,153
syntaxaero,decafbat,16
syntaxaero,maxine-dragon-787,319
syntaxaero,ahjerchubbywolf,132
syntaxaero,calorie,329
syntaxaero,milkmeats,192
syntaxaero,vomits,180
syntaxaero,carcupholder,76
syntaxaero,feyfoxen,169
syntaxaero,mochi-squish,265
syntaxaero,pillowpatche,14
syntaxaero,puffwuffballoon,129
syntaxaero,incidental,130
syntaxaero,shweetmagnet,100
syntaxaero,awesomnater,78
syntaxaero,saintsucrose,228
syntaxaero,or-fi-s,186
syntaxaero,museuk,127
syntaxaero,gnarly-gnasties,154
syntaxaero,dondedun,50
syntaxaero,orcalx,10
syntaxaero,randomguy645,284
syntaxaero,inuzu,97
syntaxaero,xnonax,462
syntaxaero,slimecatt,11
syntaxaero,heavydoodles,345
syntaxaero,cavios,307
syntaxaero,batspid2,219
syntaxaero,the-netwayman,326
syntaxaero,hosinokedama,284
syntaxaero,smokeydraws,109
syntaxaero,doncogneetoe,273
syntaxaero,chubbypuppies,79
syntaxaero,mexifurfoof,166
syntaxaero,wenisberry,222
syntaxaero,evkem,112
syntaxaero,astrozone,161
syntaxaero,pastelgeneticist,268
syntaxaero,orbyssey,32
syntaxaero,haradoshin,241
syntaxaero,inksplot,277
syntaxaero,porcine,104
syntaxaero,grimbler,376
syntaxaero,trubbol,121
syntaxaero,reshirii,245
syntaxaero,aquatin,93
syntaxaero,chimeracauldron,20
syntaxaero,biowhat,87
syntaxaero,nyuufruit,129
syntaxaero,cynicalfluff,127
syntaxaero,yellowhellion,139
syntaxaero,mk-artichoke,98
syntaxaero,gil~,109
syntaxaero,smolsnuff,307
syntaxaero,saltypantz,338
syntaxaero,heftyhorsehostler,184
syntaxaero,bluebrush,432
syntaxaero,fattydragonite,530
seachomps,seachomps,677
seachomps,immoralwacha,77
seachomps,saonimorro,147
seachomps,pawberry,28
seachomps,aquamix,92
seachomps,qweave,135
seachomps,saonimorroasloosh,0
seachomps,tach0012,225
seachomps,curritos,189
seachomps,wamnugget,6
seachomps,chonky-shark,308
seachomps,miluoxie,137
seachomps,unixcat,173
seachomps,area-break,65
seachomps,veryfilthything,71
seachomps,alek.s,133
seachomps,kinkaxa,103
seachomps,otterpupps,40
seachomps,fabiantheprotogen,27
seachomps,elektr0,58
seachomps,cracker.,110
seachomps,indigo2,25
seachomps,aucherr,242
seachomps,snotdrips,139
seachomps,vulpgulps,98
seachomps,eddybelly,134
seachomps,saintdraconis,245
seachomps,kuronekocoffee,164
seachomps,jouigidragon,191
seachomps,xxedge,166
seachomps,pusinie,50
seachomps,cantielabs,14
seachomps,crestdraggy,59
seachomps,catarsi,271
seachomps,cuchuflehest,28
seachomps,palenque,89
seachomps,roppu,174
seachomps,redphlannel,117
seachomps,cchilab,30
seachomps,plushpuff,4
seachomps,callmems,209
seachomps,takarachan,107
seachomps,weighty-kyte,154
seachomps,borisbearr,104
seachomps,derfisch,81
seachomps,abthegreat,423
seachomps,okaeri,448
seachomps,chubby-shark,343
seachomps,wideshark,102
seachomps,darrkemperor,33
seachomps,pillowopossum,33
seachomps,artisipancake,343
seachomps,kelpu,227
seachomps,kkoart,65
seachomps,blueberryroti,60
seachomps,doxxylbox,45
seachomps,silverfang725,277
seachomps,beverage,89
seachomps,homemosaco,101
seachomps,huhunya,42
seachomps,sumisune,157
seachomps,gummyfruitcup,82
seachomps,sleepyheadspoosha,18
seachomps,javcavk541,50
seachomps,thatoneaceguy,156
seachomps,zaphod-,227
seachomps,cirronaja,94
seachomps,"boot,possywossy",0
seachomps,haloopdy,97
